"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-7.87460009931375","8.35227902011239","-0.144255878672792","100","full","poor_npl1"
"-5.84330078044928","5.48477412067243","-0.184164218559059","150","full","poor_npl1"
"-5.50254380692108","6.0275279884104","-0.520692490600314","200","full","poor_npl1"
